UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
Q14590		ENSG00000159917
	K7EL19	ENSG00000159917
P32242		ENSG00000115507
	B5MC54	ENSG00000115507
Q9UMQ3		ENSG00000043039
Q01167		ENSG00000141568
	E9PM37	ENSG00000141568
	E9PPI7	ENSG00000141568
	I3L4U8	ENSG00000141568
P54845		ENSG00000129535
	H0YNW2	ENSG00000129535
Q9Y2P0		ENSG00000127903
	M0QYX0	ENSG00000127903
Q9BYE7		ENSG00000156374
	A0A3B3ISZ4	ENSG00000156374
	Q5JTV1	ENSG00000101216
Q9UKD1		ENSG00000101216
	Q7Z6U1	ENSG00000028839
P62380		ENSG00000028839
	Q7Z6T9	ENSG00000028839
	Q7Z6U2	ENSG00000028839
	Q7Z6U0	ENSG00000028839
O43680		ENSG00000118526
Q9NP62		ENSG00000137270
Q9NR83		ENSG00000125520
Q96KN3		ENSG00000165495
	E9PKL2	ENSG00000165495
	E9PQS4	ENSG00000165495
	E9PRB6	ENSG00000165495
	H0YLX0	ENSG00000165495
P56178	Q53Y73	ENSG00000105880
P56178		ENSG00000105880
Q12870		ENSG00000125878
P81133		ENSG00000112246
Q9H4Q3		ENSG00000112238
	A0A0A0MRL5	ENSG00000112238
O14948		ENSG00000105967
	B7Z757	ENSG00000105967
Q05925		ENSG00000163064
Q9Y6Q3		ENSG00000136866
Q7Z6R9		ENSG00000008197
	A0A590UJE4	ENSG00000151612
Q17R98		ENSG00000151612
	A0A5F9ZGT0	ENSG00000151612
	H0Y9M2	ENSG00000151612
	G5E9Z1	ENSG00000151612
	H0Y9K9	ENSG00000151612
	A0A494C0H4	ENSG00000151612
	A0A5F9ZHK5	ENSG00000151612
	A0A5F9ZGW8	ENSG00000151612
Q96H12	A0A024R171	ENSG00000066697
	X6RL08	ENSG00000066697
Q96H12		ENSG00000066697
	X6R907	ENSG00000066697
Q14934		ENSG00000100968
	G3V4K1	ENSG00000100968
	G3V4U6	ENSG00000100968
	G3V5H0	ENSG00000100968
Q5JPB2		ENSG00000124203
Q96QS3		ENSG00000004848
	A0A1B0GUI3	ENSG00000004848
Q9UKI9		ENSG00000137709
	E9PIN6	ENSG00000137709
	H0YLC5	ENSG00000137709
P56179		ENSG00000006377
	G3V471	ENSG00000006377
O60248		ENSG00000129194
Q9UBB5		ENSG00000134046
	J3KSA7	ENSG00000134046
	X6RBL6	ENSG00000134046
Q9UBB5	A0A024R2B8	ENSG00000134046
Q9H116		ENSG00000125812
	Q5JXG1	ENSG00000125812
	C9J682	ENSG00000005889
P17010		ENSG00000005889
	C9JGU9	ENSG00000005889
P17010	A0A024RC04	ENSG00000005889
	E9PEP7	ENSG00000005889
P78412		ENSG00000159387
	A0A494C0R1	ENSG00000100146
	H0Y5N4	ENSG00000100146
	A0A8V8TM01	ENSG00000100146
P56693	A0A024R1N6	ENSG00000100146
	A0A8I5KW15	ENSG00000100146
	A6PVD3	ENSG00000100146
Q8IYH5		ENSG00000036549
	C9JUA4	ENSG00000036549
	C9J283	ENSG00000036549
Q96SC8		ENSG00000142700
Q5T1R4		ENSG00000127124
Q9Y2V3		ENSG00000134438
	G3V2C8	ENSG00000134438
Q8NDX6		ENSG00000139651
Q96RI1	B6ZGS9	ENSG00000012504
	F8W1M1	ENSG00000012504
Q96RI1	F1DAL1	ENSG00000012504
	G8JLB0	ENSG00000012504
Q96RI1		ENSG00000012504
	F8W656	ENSG00000012504
	H0YHD5	ENSG00000012504
Q9NY43		ENSG00000143032
Q9BUY5	A0A024R7D7	ENSG00000130818
	K7ER43	ENSG00000130818
	K7EME3	ENSG00000130818
	A0A1B0GUG0	ENSG00000130818
O43313		ENSG00000166454
	J3QRX7	ENSG00000166454
Q03112		ENSG00000085276
	A0A0C3SFZ7	ENSG00000085276
	E7EUL6	ENSG00000085276
	H9KVD4	ENSG00000085276
	E7ERX0	ENSG00000085276
	E7EPY2	ENSG00000085276
	E7EU48	ENSG00000085276
	E9PGE9	ENSG00000085276
	A0A1B0GXI8	ENSG00000085276
	C9JU02	ENSG00000085276
Q8N1L9		ENSG00000168062
	B4DV37	ENSG00000168062
	E9PJ73	ENSG00000168062
O75603		ENSG00000124827
	H0YAH1	ENSG00000164107
P61296		ENSG00000164107
Q9Y2P7		ENSG00000152454
	M0R2X0	ENSG00000152454
	E9PPF8	ENSG00000005801
O14628		ENSG00000005801
	A0A087WT67	ENSG00000005801
	E9PIY8	ENSG00000005801
	E9PIN4	ENSG00000005801
	E9PIT0	ENSG00000005801
	H0YDV1	ENSG00000005801
	E9PNM0	ENSG00000005801
	C9JG37	ENSG00000005801
	E9PMX5	ENSG00000005801
	E9PLW9	ENSG00000005801
	E9PSE6	ENSG00000005801
	E9PLF5	ENSG00000005801
Q9UHF7		ENSG00000104447
	E5RFF3	ENSG00000104447
	H0YAV4	ENSG00000104447
	E5RJ97	ENSG00000104447
	H0YC29	ENSG00000104447
	F8W8T0	ENSG00000104447
	E7EVN4	ENSG00000104447
	C9J6L7	ENSG00000104447
	A0A1D5RMP4	ENSG00000104447
Q16650		ENSG00000136535
	H7C0B1	ENSG00000136535
P48436		ENSG00000125398
	M0R032	ENSG00000142528
Q8WTR7	A0A024QZI1	ENSG00000142528
	F8WEC7	ENSG00000142528
	M0R123	ENSG00000142528
	M0R2N2	ENSG00000142528
	M0QZY7	ENSG00000142528
Q8N693		ENSG00000123576
P50539		ENSG00000119950
	F6U3F6	ENSG00000119950
P50539	A0A0S2Z3X5	ENSG00000119950
	A0A494C0I8	ENSG00000119950
	B1ANN8	ENSG00000119950
	A0A494C1P8	ENSG00000119950
P50539	A0A0S2Z3Y0	ENSG00000119950
	A0A494BZS3	ENSG00000119950
	A0A0S2Z429	ENSG00000119950
	A0A494C0W2	ENSG00000119950
	F6WCI9	ENSG00000119950
	A0A494C1C1	ENSG00000119950
P23409		ENSG00000111046
Q9HCL3		ENSG00000142065
	K7EM99	ENSG00000142065
Q9P0U4		ENSG00000154832
	K7EQ21	ENSG00000154832
	K7EQZ1	ENSG00000154832
	A0A669KB29	ENSG00000154832
	K7EKZ6	ENSG00000154832
	K7EJR0	ENSG00000154832
	A0A669KB50	ENSG00000154832
Q5T6S3		ENSG00000119403
	F5H8K3	ENSG00000119403
	A0A087X169	ENSG00000119403
	B0QZ50	ENSG00000119403
	B0QZ51	ENSG00000119403
	B0QZ72	ENSG00000119403
	X6RER8	ENSG00000119403
Q15562		ENSG00000074219
Q15562	A0A024QZE2	ENSG00000074219
	M0R1A5	ENSG00000074219
	M0R290	ENSG00000074219
O60479		ENSG00000064195
	F8VXG1	ENSG00000064195
	L0B3M6	ENSG00000084093
Q13127		ENSG00000084093
	L0B1S6	ENSG00000084093
	A0A087X1C2	ENSG00000084093
	A0A1W2PQA1	ENSG00000084093
	L0B1V4	ENSG00000084093
	L0B2V9	ENSG00000084093
	A0A6Q8PH19	ENSG00000084093
	K7EMU7	ENSG00000127445
Q13526		ENSG00000127445
	K7EP26	ENSG00000127445
	K7EN45	ENSG00000127445
	A0A2U3TZT0	ENSG00000144331
Q569K4		ENSG00000144331
	C9JKK0	ENSG00000144331
	E9PB85	ENSG00000144331
	C9JPH4	ENSG00000144331
